publicationId,publicationType,name,venue,year,issn,url,volume
6457124b-39bf-4d02-bff4-73752ff21562,journal,Nature Machine Intelligence,Nature Machine Intelligence,2020,2522-5839,https://www.nature.com/natmachintell/,3
7b2adce0-d53f-49d6-8784-b0645604fe62,journal,ACM Computing Surveys,ACM Computing Surveys,2020,0360-0300,http://www.acm.org/pubs/surveys/,1
6457124b-39bf-4d02-bff4-73752ff21562,journal,Nature Machine Intelligence,Nature Machine Intelligence,2021,2522-5839,https://www.nature.com/natmachintell/,3
bb95bf2e-8383-4748-bf9d-d6906d091085,journal,Proceedings of the National Academy of Sciences of the United States of America,Proceedings of the National Academy of Sciences of the United States of America,2019,0027-8424,https://www.jstor.org/journal/procnatiacadscie,116
bb95bf2e-8383-4748-bf9d-d6906d091085,journal,Proceedings of the National Academy of Sciences of the United States of America,Proceedings of the National Academy of Sciences of the United States of America,2018,0027-8424,https://www.jstor.org/journal/procnatiacadscie,116
ccd8e532-73c6-414f-bc91-271bbb2933e2,journal,Electronics,Electronics,2019,1450-5843,http://www.electronics.etfbl.net/,1
c22e7c36-3bfa-43e1-bb7b-edccdea2a780,journal,Journal of machine learning research,Journal of machine learning research,2020,1532-4435,http://www.ai.mit.edu/projects/jmlr/,23
2633f5b2-c15c-49fe-80f5-07523e770c26,journal,IEEE Access,IEEE Access,2019,2169-3536,http://www.ieee.org/publications_standards/publications/ieee_access.html,7
722543dd-21f3-4b3c-941b-1045b173ec51,journal,Nature Reviews Materials,Nature Reviews Materials,2021,2058-8437,http://www.nature.com/natrevmats/,6
c99cfe66-b71c-4ca4-bedd-26267b9cb068,journal,IEEE Transactions on Software Engineering,IEEE Transactions on Software Engineering,2019,0098-5589,http://ieeexplore.ieee.org/servlet/opac?punumber=32,48
22c9862f-a25e-40cd-9d31-d09e68a293e6,journal,Machine-mediated learning,Machine-mediated learning,2019,0732-6718,http://www.springer.com/computer/artificial/journal/10994,110
1901e811-ee72-4b20-8f7e-de08cd395a10,journal,arXiv.org,arXiv.org,2019,2331-8422,https://arxiv.org,abs/1910.09700
