conferenceName,CommunityMember,numOfEditionsPresented
Computer Vision and Pattern Recognition,"['Elyor Kodirov', 'T. Xiang', 'S. Gong', 'Yu Tian', 'Xi Peng', 'Dimitris N. Metaxas', 'Long Zhao', 'Mubbasir Kapadia', 'L. Gool', 'L. Gool', 'Wen Li', 'Yuhua Chen', 'L. Gool', 'Xiaoran Chen', 'Seokju Lee', 'François Rameau', 'In-So Kweon', 'Inkyu Shin', 'Fei Pan', 'Li Fei-Fei', 'Li Fei-Fei', 'A. Karpathy', 'Yanchao Yang', 'Stefano Soatto', 'G. Ros', 'Laura Sellart', 'Antonio M. López', 'David Vázquez', 'Joanna Materzynska', 'P. Pérez', 'M. Cord', 'Max Bucher', 'Tuan-Hung Vu', 'Himalaya Jain', 'Uwe Franke', 'Sebastian Ramos', 'Marius Cordts', 'Mohamed Omran', 'S. Roth', 'S. Roth', 'B. Schiele', 'M. Enzweiler', 'Rodrigo Benenson', 'Timo Rehfeld', 'S. Savarese', 'I. Brilakis', 'Ozan Sener', 'Amir Zamir', 'S. Savarese', 'Martin Fischer', 'Helen Jiang', 'Iro Armeni', 'Amir Zamir', 'Iro Armeni', 'Jingdong Wang', 'Gang Zeng', 'Yuhui Yuan', 'Xiaokang Chen', 'Yassine Ouali', 'Myriam Tami', 'C. Hudelot']",12
Neural Information Processing Systems,"['Daniel Coelho de Castro', 'K. Kamnitsas', 'B. Glocker', 'Q. Dou', 'Àgata Lapedriza', 'Jianxiong Xiao', 'Bolei Zhou', 'A. Torralba', 'A. Torralba', 'Bolei Zhou', 'A. Torralba', 'A. Torralba', 'A. Oliva', 'Bolei Zhou', 'Àgata Lapedriza', 'A. Oliva', 'A. Torralba', 'Jianxiong Xiao', 'A. Oliva', 'H. Larochelle', 'Ryan P. Adams', 'Jasper Snoek', 'W. Woo', 'Xingjian Shi', 'Hao Wang', 'D. Yeung', 'Zhourong Chen', 'W. Wong', 'Bowen Liu', 'Michele Catasta', 'Hongyu Ren', 'Matthias Fey', 'J. Leskovec', 'Yuxiao Dong', 'M. Zitnik', 'Weihua Hu', 'Cheng Wu', 'Shiji Song', 'Xuran Pan', 'Gao Huang', 'Gao Huang', 'Hong Zhang', 'Yulin Wang', 'Xuran Pan', 'Cheng Wu', 'Yulin Wang', 'Shiji Song']",6
European Conference on Computer Vision,"['Jinsong Wang', 'Yang Zou', 'B. V. Vijaya Kumar', 'Zhiding Yu', 'T. Drummond', 'E. Rosten', 'L. Gool', 'L. Gool', 'Christos Sakaridis', 'L. Gool', 'Christos Sakaridis', 'Dengxin Dai', 'Simon Hecker', 'Simon Hecker', 'Dengxin Dai', 'Dengxin Dai', 'Christos Sakaridis', 'Feiyue Huang', 'Yanhao Ge', 'Changxin Gao', 'Xinya Chen', 'Xuan Cao', 'Chengjie Wang', 'N. Sang', 'Yanrui Bin', 'Ying Tai', 'Jilin Li', 'J. Álvarez', 'M. S. Aliakbarian', 'L. Petersson', 'M. Salzmann', 'F. Saleh', 'J. Álvarez']",5
Conference on Empirical Methods in Natural Language Processing,"['B. Pang', 'Shivakumar Vaithyanathan', 'Lillian Lee', 'Dzmitry Bahdanau', 'Dzmitry Bahdanau', 'Holger Schwenk', 'Kyunghyun Cho', 'Yoshua Bengio', 'B. V. Merrienboer', 'Yoshua Bengio', 'Kyunghyun Cho', 'Çaglar Gülçehre', 'Fethi Bougares', 'Benjamin Van Durme', 'Adam Pauls', 'J. Eisner', 'Emmanouil Antonios Platanios', 'D. Klein', 'Richard Shin', 'Subhro Roy', 'C. H. Lin', 'Sam Thomson', 'Charles C. Chen']",4
IEEE International Conference on Computer Vision,"['Wenguan Wang', 'L. Gool', 'Tianfei Zhou', 'L. Gool', 'L. Gool', 'F. Yu', 'Jifeng Dai', 'E. Konukoglu', 'S. Roth', 'S. Roth', 'D. Scharstein', 'Michael J. Black', 'Simon Baker', 'J. P. Lewis', 'R. Szeliski', 'Zhibin Wang', 'Chunhua Shen', 'Jianlong Yuan', 'Yifan Liu', 'Taekyung Kim', 'Jaehoon Choi', 'Changick Kim']",4
