conferenceName,CommunityMember,numOfEditionsPresented
Computer Vision and Pattern Recognition,"['Xi Peng', 'Long Zhao', 'Dimitris N. Metaxas', 'Yu Tian', 'Mubbasir Kapadia', 'Laura Sellart', 'G. Ros', 'Joanna Materzynska', 'David Vázquez', 'Antonio M. López', 'T. Xiang', 'S. Gong', 'Elyor Kodirov', 'Mohamed Omran', 'S. Roth', 'Sebastian Ramos', 'B. Schiele', 'Uwe Franke', 'Timo Rehfeld', 'Rodrigo Benenson', 'M. Enzweiler', 'S. Roth', 'Marius Cordts', 'Li Fei-Fei', 'Li Fei-Fei', 'A. Karpathy', 'S. Savarese', 'I. Brilakis', 'Helen Jiang', 'Iro Armeni', 'Ozan Sener', 'S. Savarese', 'Amir Zamir', 'Iro Armeni', 'Martin Fischer', 'Amir Zamir', 'Yanchao Yang', 'Stefano Soatto', 'Max Bucher', 'Tuan-Hung Vu', 'P. Pérez', 'Himalaya Jain', 'M. Cord', 'Yassine Ouali', 'C. Hudelot', 'Myriam Tami', 'Fei Pan', 'François Rameau', 'Seokju Lee', 'In-So Kweon', 'Inkyu Shin', 'Xiaokang Chen', 'Jingdong Wang', 'Yuhui Yuan', 'Gang Zeng', 'L. Gool', 'Wen Li', 'Yuhua Chen', 'L. Gool', 'Xiaoran Chen', 'L. Gool']",11
Neural Information Processing Systems,"['Yuxiao Dong', 'Weihua Hu', 'J. Leskovec', 'Hongyu Ren', 'Bowen Liu', 'M. Zitnik', 'Matthias Fey', 'Michele Catasta', 'Hong Zhang', 'Gao Huang', 'Shiji Song', 'Xuran Pan', 'Cheng Wu', 'Yulin Wang', 'Gao Huang', 'Xuran Pan', 'Shiji Song', 'Yulin Wang', 'Cheng Wu', 'W. Wong', 'Xingjian Shi', 'W. Woo', 'Zhourong Chen', 'D. Yeung', 'Hao Wang', 'Ryan P. Adams', 'Jasper Snoek', 'H. Larochelle', 'Q. Dou', 'Daniel Coelho de Castro', 'B. Glocker', 'K. Kamnitsas', 'A. Torralba', 'A. Torralba', 'A. Torralba', 'Àgata Lapedriza', 'Bolei Zhou', 'Bolei Zhou', 'Bolei Zhou', 'A. Oliva', 'A. Torralba', 'Jianxiong Xiao', 'A. Oliva', 'A. Oliva', 'Àgata Lapedriza', 'Jianxiong Xiao', 'A. Torralba']",6
Conference on Empirical Methods in Natural Language Processing,"['Kyunghyun Cho', 'Holger Schwenk', 'Dzmitry Bahdanau', 'Çaglar Gülçehre', 'B. V. Merrienboer', 'Fethi Bougares', 'Yoshua Bengio', 'Dzmitry Bahdanau', 'Yoshua Bengio', 'Kyunghyun Cho', 'B. Pang', 'Lillian Lee', 'Shivakumar Vaithyanathan', 'Richard Shin', 'Sam Thomson', 'Emmanouil Antonios Platanios', 'J. Eisner', 'Benjamin Van Durme', 'C. H. Lin', 'Subhro Roy', 'Charles C. Chen', 'Adam Pauls', 'D. Klein']",4
European Conference on Computer Vision,"['Ying Tai', 'N. Sang', 'Jilin Li', 'Chengjie Wang', 'Xuan Cao', 'Changxin Gao', 'Yanhao Ge', 'Yanrui Bin', 'Feiyue Huang', 'Xinya Chen', 'T. Drummond', 'E. Rosten', 'J. Álvarez', 'M. Salzmann', 'M. S. Aliakbarian', 'L. Petersson', 'F. Saleh', 'J. Álvarez', 'Yang Zou', 'Jinsong Wang', 'B. V. Vijaya Kumar', 'Zhiding Yu', 'Dengxin Dai', 'L. Gool', 'Christos Sakaridis', 'Christos Sakaridis', 'Simon Hecker', 'Dengxin Dai', 'Christos Sakaridis', 'L. Gool', 'Dengxin Dai', 'L. Gool', 'Simon Hecker']",4
IEEE International Conference on Computer Vision,"['Jianlong Yuan', 'Yifan Liu', 'Chunhua Shen', 'Zhibin Wang', 'R. Szeliski', 'D. Scharstein', 'Michael J. Black', 'Simon Baker', 'S. Roth', 'S. Roth', 'J. P. Lewis', 'Jaehoon Choi', 'Taekyung Kim', 'Changick Kim', 'L. Gool', 'Jifeng Dai', 'L. Gool', 'F. Yu', 'Tianfei Zhou', 'L. Gool', 'E. Konukoglu', 'Wenguan Wang']",4
