authorName,hIndex
Z. Chen,2
M. Wicke,2
P. Tucker,2
Andy Davis,2
J. Levenberg,2
Sanjay Ghemawat,2
M. Isard,2
Yuan Yu,2
M. Devin,2
M. Kudlur,2
Sherry Moore,2
J. Dean,2
Martín Abadi,2
M. Schuld,2
S. Roth,2
Tanvir Sajed,2
Nazanin Assempour,2
Allison Pon,2
J. Grant,2
Daniel Johnson,2
Elvis J. Lo,2
Carin Li,2
Y. D. Feunang,2
Zinat Sayeeda,2
A. Marcu,2
N. Thanki,2
A. Mitchell,2
Kevin P. Murphy,2
J. Leek,2
O. Kohany,2
A. El-Bastawissy,2
M. Ghandi,2
P. Tamayo,2
Chet Birger,2
M. K. Derbyshire,2
Noreen R. Gonzales,2
M. Gwadz,2
Shennan Lu,2
R. Yamashita,2
Dachuan Zhang,2
Renata C. Geer,2
David I. Hurwitz,2
Chanjuan Zheng,2
Jiyao Wang,2
James S. Song,2
F. Chitsaz,2
Gabriele H. Marchler,2
C. Lanczycki,2
M. Simonovic,2
C. V. Mering,2
L. Jensen,2
Michael Kuhn,2
Alexander C. J. Roth,2
Damian Szklarczyk,2
Longbing Cao,2
Warren Thornthwaite,2
Joy Mundy,2
Bob Becker,2
R. Tatusov,2
E. Koonin,2
Sunghwan Kim,2
J. Ostell,2
A. Kuznetsov,2
Donald C. Comeau,2
W. Inmon,2
J. Steiner,2
Jordan A. Fish,2
Benli Chai,2
J. Tiedje,2
Qiong Wang,2
Donna M. McGarrell,2
J. Cole,2
K. Dolinski,2
C. Rudin,2
Li Fei-Fei,2
T. Pedersen,2
K. Hose,2
V. Stodden,2
Martin G. Seneviratne,2
T. Barrett,2
S. Bryant,2
Devon Bourexis,2
W. Klimke,2
Lewis Y. Geer,2
J. Jackson,2
Fu Lu,2
O. Waroux,1
P. Nouvellet,1
J. Polonsky,1
T. Jombart,1
Fernando Martínez-Plumed,1
N. Lachiche,1
C. Ferri,1
M. J. R. Quintana,1
Lidia Contreras-Ochando,1
José Hernández Orallo,1
Meelis Kull,1
P. Flach,1
Erick Oduor,1
Josh Andres,1
Phoebe Sengers,1
P. Treleaven,1
Zeynep Engin,1
Philip J. Guo,1
C. Torre,1
William Byron,1
H. Krumholz,1
W. Schulz,1
A. Hsiao,1
Dustin R. Bunch,1
Kris Rodgerson,1
T. Durant,1
A. Coppi,1
Nathaniel Price,1
J. McPadden,1
S. Dodge,1
Umar Aftab,1
G. F. Siddiqui,1
T. Drummond,1
E. Rosten,1
C. Haas,1
Simon Caton,1
S. Sax,1
O. Ba-Rukab,1
H. Haviluddin,1
Arda Yunianta,1
N. Yusof,1
M. Othman,1
N. Dengen,1
T. Xiang,1
S. Gong,1
Elyor Kodirov,1
I. Bruno,1
S. Ward,1
C. Groom,1
M. Lightfoot,1
E. Audain,1
Andrew F. Jarnuczak,1
Timo Sachsenberg,1
Manuel Bernal Llinares,1
J. Pfeuffer,1
Şule Yılmaz,1
J. Uszkoreit,1
Enrique Pérez,1
Avinash Inuganti,1
Shivani Tiwary,1
J. Cox,1
P. Jones,1
T. Mitchell,1
Corinna Cortes,1
Yann LeCun,1
