GuruName,paperTitles,topPapers
A. Torralba,"['Learning Deep Features for Scene Recognition using Places Database', 'LabelMe: A Database and Web-Based Tool for Image Annotation']",2
Hsin-Yuan Huang,"['Challenges and opportunities in quantum machine learning', 'Power of data in quantum machine learning']",2
L. Deng,['The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]'],2
M. Golfarelli,"['Modern Software Engineering Methodologies Meet Data Warehouse Design: 4WD', 'Data Warehouse Testing']",2
S. Rizzi,"['Modern Software Engineering Methodologies Meet Data Warehouse Design: 4WD', 'Data Warehouse Testing']",2
