GuruName,paperTitles,topPapers
L. Deng,"['The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]', 'Learning deep structured semantic models for web search using clickthrough data']",3
Christos Sakaridis,"['Semantic Foggy Scene Understanding with Synthetic Data', 'Curriculum Model Adaptation with Synthetic and Real Data for Semantic Foggy Scene Understanding']",2
Dengxin Dai,"['Semantic Foggy Scene Understanding with Synthetic Data', 'Curriculum Model Adaptation with Synthetic and Real Data for Semantic Foggy Scene Understanding']",2
Hsin-Yuan Huang,"['Challenges and opportunities in quantum machine learning', 'Power of data in quantum machine learning']",2
J. Leek,"['Diversifying the genomic data science research community', 'The Democratization of Data Science Education']",2
L. Van Gool,"['Semantic Foggy Scene Understanding with Synthetic Data', 'Curriculum Model Adaptation with Synthetic and Real Data for Semantic Foggy Scene Understanding']",2
Thomas L. Madden,"['Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.', 'Database resources of the National Center for Biotechnology Information.']",2
